documentId,title,proposedOwner,confidence,recommendedFinalOwner,ownerDecisionStatus,humanReviewer,notes
RAE-DC-0001,แบบฟอร์มขออนุญาตเข้าร่วมอบรม ปี2569,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - training permission form is standard HR/Admin responsibility; proposed owner is the admin owner group per taxonomy
RAE-DC-0002,แบบฟอร์มรายงานผลการเข้าร่วมอบรม ปี2569,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - training report form is companion to RAE-DC-0001; same owner group
RAE-DC-0003,แบบฟอร์มรายงานผลการนำความรู้ไปใช้ประโยชน์ในการปฏิบัติงาน ปี2569,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - knowledge application report is HR/Admin training follow-up
RAE-DC-0004,แบบแจ้งการลงเวลาปฏิบัติงาน (เข้า ออก เข้าและออก เข้าสาย ออกก่อน),rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - attendance notification is HR/timekeeping responsibility
RAE-DC-0004A,ใบนำส่งเอกสารเพื่อลงนาม,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - document routing form is general admin responsibility
RAE-DC-0007,แบบคำขอมีบัตรประจำตัวบุคลากรดิจิทัล (Smart Card),rae-dc-admin-owners,medium,,needs-confirmation,TBD,Medium confidence - smart card could be IT or HR; needs human to confirm which unit owns smart card issuance
RAE-DC-0008,ขออนุมัติเดินทางไปปฏิบัติงาน ณ ต่างประเทศ (E-Passport/VISA),rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - international travel approval is admin/HR responsibility
RAE-DC-0009,ขออนุมัติเข้าร่วมโครงการฝึกอบรม,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - training approval is HR/admin training coordinator
RAE-DC-0010,รายงานผลการฝึกอบรม,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - training report is HR/admin training coordinator
RAE-DC-0011,สรุปผลที่ได้จากการไปฝึกอบรม ประชุมสัมมนา,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - training summary is HR/admin training coordinator
RAE-DC-0012,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - contractor certificate request is HR/admin responsibility
RAE-DC-0013,แบบฟอร์มลงเวลาปฏิบัติราชการ,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - attendance form is HR/timekeeping; may merge with RAE-DC-0004 but owner is same
RAE-DC-0014,ใบลาป่วย ลากิจ ลาคลอดบุตร,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - leave forms are HR responsibility
RAE-DC-0015,ใบลาพักผ่อน,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - vacation leave is HR responsibility
RAE-DC-0016,ใบยกเลิกวันลา,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - leave cancellation is HR responsibility
RAE-DC-0017,ใบลาศึกษาต่อ ฝึกอบรม ดูงาน,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - study/training leave is HR responsibility
RAE-DC-0018,แบบหนังสือลาออกจากงานของพนักงานมหาวิทยาลัย,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - university employee resignation is HR responsibility
RAE-DC-0019,แบบหนังสือลาออกจากงานของพนักงานราชการ,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - government employee resignation is HR responsibility
RAE-DC-0020,แบบหนังสือขอลาออกจากราชการ (พนักงานส่วนงานเฉพาะกิจ จ้างเหมา),rae-dc-admin-owners,medium,,needs-confirmation,TBD,Medium confidence - contractor resignation may need specific unit confirmation; HR but which sub-unit?
RAE-DC-0021,แบบรายงานไปราชการ ดูงาน ประชุมสัมมนา ฝึกอบรม,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - official travel report is HR/admin
RAE-DC-0022,ประกาศ คกก. ก.บ.ม. เรื่อง วัน เวลาปฏิบัติงาน พ.ศ.2564,rae-dc-admin-owners,medium,,needs-confirmation,TBD,Medium confidence - working hours policy is admin/HR but policy-level document may need governance owner; needs human to confirm
RAE-DC-0023,หลักเกณฑ์และวิธีการประเมินผลการปฏิบัติงาน ปีงบประมาณ 2565,TBD,low,,unresolved,TBD,Low confidence - unclear if HR or research unit owns assessment criteria; needs human review; kept as TBD per rules
RAE-DC-0024,หลักเกณฑ์และวิธีการประเมินผลพฤติกรรมในการปฏิบัติงาน ปีงบประมาณ 2565,TBD,low,,unresolved,TBD,Low confidence - same uncertainty as RAE-DC-0023; needs human review; kept as TBD per rules
RAE-DC-0025,ระเบียบงานสารบรรณว่าด้วย ระบบสารบรรณอิเล็กทรอนิกส์,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - correspondence regulation is admin/records management
RAE-DC-0026,การใช้ตรามหาวิทยาลัยและข้อความต่างๆ ในหนังสือของมหาวิทยาลัย,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - university seal usage is admin/communications
RAE-DC-0027,ตัวอย่างหนังสือราชการ หนังสือภายใน,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - internal letter sample is admin/records management
RAE-DC-0028,ตัวอย่างหนังสือราชการ หนังสือภายนอก,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - external letter sample is admin/records management
RAE-DC-0029,ตัวอย่างหนังสือราชการ คำสั่ง,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - order sample is admin/records management
RAE-DC-0030,ตัวอย่างหนังสือราชการ ประกาศ,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - announcement sample is admin/records management
RAE-DC-0031,ตัวอย่างหนังสือราชการ หนังสือประทับตรา,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - sealed letter sample is admin/records management
RAE-DC-0032,ขั้นตอนการขออนุมัติเดินทางไปต่างประเทศ,rae-dc-admin-owners,medium,,needs-confirmation,TBD,Medium confidence - international travel procedure is admin but may need rewrite owner assigned separately; needs human
RAE-DC-0033,หลักเกณฑ์วิธีการประเภทการลาฯ ของพนักงานมหาวิทยาลัย พ.ศ.2561,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - leave types regulation is HR/admin
RAE-DC-0034,สิทธิการลาของบุคลากรประเภทต่างๆ,TBD,low,,unresolved,TBD,Low confidence - external link (personnel.mju.ac.th/leave.php) may not be a real document; needs review; kept as TBD per rules
RAE-DC-0035,หลักเกณฑ์การขอใช้ยานพาหนะ อัตราค่าเชื้อเพลิง ค่าบำรุงรักษาฯ สำนักวิจัยฯ,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - vehicle usage criteria is fleet/admin responsibility
RAE-DC-0036,ฟอร์มขอใช้ยานพาหนะ รถยนต์,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - vehicle request (car) is fleet/admin
RAE-DC-0037,ฟอร์มขอใช้ยานพาหนะ รถจักรยานยนต์,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - vehicle request (motorcycle) is fleet/admin
RAE-DC-0038,ฟอร์มขอเบิกน้ำมันเชื้อเพลิง,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - fuel requisition is fleet/admin
RAE-DC-0039,แบบรายงานประจำเดือน การใช้รถยนต์,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - monthly car usage report is fleet/admin
RAE-DC-0040,แบบรายงานการซ่อมบำรุงยานพาหนะ,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - vehicle maintenance report is fleet/admin
RAE-DC-0041,ฟอร์มใบปะหน้ารายงานการใช้รถยนต์,rae-dc-admin-owners,high,rae-dc-admin-owners,proposed,TBD,High confidence - car usage report cover sheet is fleet/admin
